1111	1
5997	2
12878	3
26534	4
7865	5
5681	6
14074	7
32725	8
4434	9
20333	10
8186	11
2841	12
11629	13
14174	14
1594	15
4294	16
3432	17
1837	18
3435	19
12980	20
545	21
7252	22
9414	23
25996	24
8641	25
35517	26
3535	27
19854	28
14391	29
5743	30
20467	31
32564	32
27031	33
12641	34
1866	35
8348	36
7755	37
31131	38
7486	39
20476	40
28717	41
33235	42
1594	43
1594	44
1594	45
7377	46
1233	47
19250	48
2237	49
16330	50
4650	51
19103	52
33098	53
16304	54
4080	55
2674	56
15437	57
4071	58
6492	59
17303	60
4281	61
14418	62
11047	63
15471	64
9316	65
1957	66
1158	67
7469	68
22616	69
12071	70
99	71
626	72
26243	73
23468	74
16120	75
9330	76
1069	77
1780	78
3530	79
161	80
3087	81
886	82
371	83
12672	84
3087	85
2268	86
5814	87
12532	88
1242	89
11012	90
1725	91
21584	92
11	93
1345	94
18815	95
3682	96
12284	97
2582	98
9584	99
9074	100
2709	101
2709	102
32569	103
31574	104
22186	105
21561	106
10171	107
18957	108
31249	109
20396	110
34471	111
34954	112
5227	113
29697	114
19940	115
10848	116
9074	117
22368	118
1800	119
5494	120
2545	121
5289	122
17338	123
2582	124
30322	125
19	126
567	127
10167	128
1958	129
14097	130
3378	131
779	132
6397	133
10819	134
1581	135
6160	136
8100	137
33125	138
511	139
36289	140
16419	141
21887	142
9770	143
3638	144
16812	145
307	146
1867	147
6951	148
1180	149
3206	150
36860	151
35747	152
30130	153
30899	154
21290	155
7779	156
5232	157
12682	158
21920	159
2187	160
990	161
19163	162
10794	163
33211	164
17083	165
4242	166
16774	167
319	168
35782	169
19321	170
4804	171
6532	172
18194	173
2243	174
12665	175
17885	176
24276	177
36393	178
7692	179
12177	180
3161	181
26479	182
12499	183
1591	184
20506	185
349	186
4551	187
12357	188
388	189
3751	190
3521	191
5490	192
12003	193
6331	194
286	195
26127	196
37072	197
27767	198
4892	199
1693	200
7933	201
6246	202
3772	203
976	204
14064	205
9818	206
20438	207
1190	208
3450	209
3173	210
17364	211
3826	212
1422	213
5701	214
3455	215
972	216
19203	217
469	218
8270	219
641	220
5442	221
19302	222
13387	223
1869	224
7713	225
34997	226
11881	227
7783	228
12660	229
7810	230
31467	231
13457	232
351	233
11842	234
16713	235
12119	236
8153	237
32419	238
25851	239
2534	240
36996	241
35267	242
4862	243
4489	244
5982	245
31886	246
19341	247
20759	248
5512	249
805	250
35025	251
32429	252
23338	253
5512	254
32711	255
34372	256
32964	257
19618	258
2681	259
25335	260
24564	261
10314	262
1822	263
1823	264
14519	265
6504	266
37303	267
1716	268
8157	269
1622	270
20835	271
9998	272
24225	273
26762	274
