101	33591	3	21.07
1650	129	6	23.56
14796	237	5	64.82
240	199	6	9.77
1323	151	3	10.05
1295	14	13	4.19
454	108	15	8.19
101	2650	33	146.41
220	196	5	5.08
222	2830	4	28.02
20178	103	3	16.17
5811	3223	3	44.86
2042	134	5	20.8
119	11216	5	35.29
512	312	4	18.06
192	6269	7	68.26
388	21	5	11.41
3350	7688	5	84.7
193	4966	4	31.29
1438	14	15	9.22
12606	16530	5	120.49
7679	106	4	14.85
2803	1770	6	79.58
221	476	3	7.6
661	133	9	25.5
4850	143	3	17.16
2468	12	10	6.02
3490	101	5	5.81
16624	16506	5	127.45
127	1014	3	4.45
2703	120	20	127.33
183	312	6	13.03
113	9016	3	13.21
106	9884	6	32.51
6144	110	3	9.06
970	567	3	20.57
459	658	38	407.16
107	10256	8	52.22
4004	104	7	18.66
1957	14	49	174.86
1027	354	3	17.45
518	39	3	5.44
129	1692	3	7.97
122	833	33	162.82
4936	263	6	59.25
103	20401	3	16.17
179	2227	12	95.92
7881	14	7	19.46
163	4742	3	19.41
929	103	13	10.99
774	11006	3	40.63
161	7968	3	23.3
11822	106	3	13.12
280	233	3	4.29
482	8101	4	48.99
1177	134	5	15.07
17647	109	3	17.66
131	116	315	695.89
104	581	81	261.19
189	2896	4	25.48
5783	110	3	8.58
134	1322	31	217.39
161	2125	29	272.78
189	901	3	9.94
190	2023	3	15.11
636	5348	6	75.64
543	121	10	15.66
12	7375	4	4.95
6104	104	3	6.18
8157	14	4	6.96
356	1076	16	149.66
122	490	25	78.66
25674	14	3	13.36
154	1457	3	10.75
1804	105	26	106.92
128	3523	5	25.61
2829	12	25	62.81
13632	14	4	13.01
2868	22476	4	83.28
772	106	31	78.65
107	3768	3	4.7
640	275	4	17.51
140	210	66	254.87
197	1636	8	54.29
110	119	338	181.15
138	4431	3	15.43
413	2487	5	46.2
109	7987	11	73.04
2489	280	3	20.71
948	14	30	27.02
205	912	22	170.7
327	2480	3	22.67
146	1449	6	26.95
116	2839	21	127.45
121	3531	3	9.33
103	9053	3	8.76
9836	1210	3	42.61
101	12343	5	22.99
7180	14	6	13.2
101	11486	4	15
299	2467	5	41.45
116	202	65	102.54
117	594	14	25.39
2216	145	9	55.9
152	736	3	6.35
151	2842	4	21.99
328	698	37	365.9
264	381	9	41.66
115	2940	23	142.09
572	114	17	28.9
2507	19698	5	102.69
110	2803	5	10.91
106	3299	7	19.43
111	2943	4	7.73
141	739	5	11.9
550	11617	7	107.46
2099	121	13	63.53
107	3133	6	14.5
740	284	3	13.02
166	438	16	71.49
5278	3419	4	61.89
112	1753	4	4.35
28186	101	3	21.07
4623	101	10	31.14
2921	235	4	29.52
101	10928	10	63.59
105	11424	4	20.09
102	12052	3	10.09
121	405	31	89.85
500	5395	3	31.74
104	16015	3	13.75
2278	101	9	11.98
232	744	4	17.24
2341	2103	5	64.15
114	3238	9	37.12
120	2511	3	6.98
119	436	33	96.44
6637	106	3	8.45
437	197	5	14.34
9835	12	3	3.9
115	5442	13	86.27
257	111	47	51.29
5275	12	5	4.45
139	3620	5	28.72
144	272	11	17.67
145	395	19	71.7
106	302	80	169.42
106	5019	3	6.44
3327	4715	7	115.05
122	5002	5	26.05
2582	14898	5	94.63
104	23667	3	18.69
3985	10474	3	51.22
2698	109	18	81.87
5864	1724	20	375.89
273	2564	9	82.46
212	372	4	9.64
122	253	29	47.32
2459	123	7	30.67
2113	14	20	34.33
7956	14	4	6.51
2678	112	4	7.21
133	407	51	261.26
315	133	11	17.53
20783	14	4	18.78
696	147	11	44.91
