2824	3977	4	54.41
186	218	7	12.78
687	162	24	154.81
152	3230	3	15.45
124	2277	5	16.84
107	8851	7	33.62
4574	102	4	4.54
11868	111	3	13.96
108	10589	10	66.61
3105	117	3	7.06
17308	110	5	35.04
102	3833	9	19.82
1262	105	7	4.18
130	3855	8	46.07
8	3995	21	171.9
156	1003	10	52.64
130	1883	7	27.51
155	611	7	24.19
131	400	35	144.56
102	1969	57	268.71
129	5711	3	13.92
2	4613	6	34.16
17304	107	3	14.91
105	5813	3	5.32
102	7547	11	48.02
4570	12	7	6.57
3577	224	3	20.56
631	4691	4	43.08
104	5353	7	21.19
8825	12	4	5.21
678	12522	3	38.62
102	1128	16	15.83
112	9694	5	26.43
4638	154	4	26.4
35965	12	3	17.61
1412	3725	8	107.31
7005	116	3	11.5
14182	101	3	5.81
339	150	22	94.53
158	20549	6	74.4
6345	103	4	8.81
110	8392	6	29.86
127	7269	3	15.4
1952	101	17	16.26
486	2019	10	101.83
766	8761	7	98.71
126	2067	21	130.25
123	211	26	34.44
122	943	55	336.55
133	14755	3	23.29
2184	117	16	77.93
151	494	3	4.34
14694	12	3	6.16
247	291	5	15.64
15864	13755	7	166.76
7875	101	6	11.11
2967	12	11	10.36
3988	14	8	9.54
1948	105	12	24.94
8	6562	6	39.53
246	17624	3	34.86
11818	106	3	10.72
115	12980	3	16
1743	111	6	10.69
1136	114	5	5.23
105	214	41	8.96
190	1338	6	34.43
101	2062	48	147.08
15873	18905	5	118.85
101	3523	8	6.33
9740	14	4	7.61
218	376	22	131.81
161	542	5	14.16
130	593	8	15.32
106	31475	3	20.45
104	730	93	369.84
475	168	6	18.6
101	7989	4	4.84
5079	102	7	16.15
475	2511	3	24.54
14643	12	3	6.16
124	2034	4	10.83
125	1654	4	9.78
3138	4859	9	145.25
109	15930	3	15.81
1163	586	3	20.86
333	1	3	9.99
31233	119	3	26.42
127	3402	8	42.82
3851	14	6	4.28
6784	26853	4	90.8
6110	14	5	6.18
24057	12	3	11.1
15736	12	3	6.81
169	170	6	4.22
1181	931	6	56.62
21686	101	4	16.4
8758	2813	3	44.89
1550	125	3	5.5
554	14631	8	126.44
106	7361	4	11.9
119	2042	11	43.78
173	165	27	83.61
102	8909	7	25.97
7442	20966	6	138.33
17829	14	3	8.61
25860	114	3	22.55
15649	12	4	11.66
206	4365	12	120.72
589	119	6	4.22
108	20575	3	18.05
208	160	16	42.03
1185	134	7	24.68
102	12975	3	8.91
744	101	57	72.23
9789	12	4	6.35
202	3311	3	19.2
570	114	27	70.31
102	25724	5	36.56
108	7264	3	8.5
7146	105	4	10.95
5106	14	5	4.43
14673	110	3	15.27
3802	12	8	6.89
672	1087	7	62.25
1180	499	3	19.96
8600	306	3	30.4
127	10929	6	47.04
2962	2386	5	65.33
126	8815	3	16.74
4280	110	4	9.99
108	2500	8	19.36
110	3228	7	20.8
317	2860	9	88.54
199	616	10	51.95
4619	14	6	6.06
101	8810	8	21.98
38176	14	3	18.74
115	7823	8	48.81
1000	2	3	4.09
120	4987	4	16.3
191	10648	9	106.65
120	265	15	12.73
207	1137	8	49.53
101	14523	5	16.44
103	15647	4	19.16
643	45	9	16.23
3299	12	13	17.98
235	478	16	101.25
142	274	5	4.31
177	226	37	178.87
967	412	7	52.91
26755	12	3	13.22
590	397	8	53.28
12	10829	3	3.91
16243	102	4	17.15
110	3957	16	83.08
109	3033	9	29.54
4244	14	6	5.27
139	392	14	44.45
200	4275	12	118.84
5583	109	4	11.98
3138	12	18	34.09
106	9295	3	8.85
867	1795	3	26.14
459	31496	3	45.51
749	2408	29	405.7
107	16420	3	14.06
8733	28962	4	93.44
12	7575	6	10.19
2009	145	3	11.35
4954	112	3	7.82
12	1901	14	8.33
104	1033	101	512.6
102	251	142	248.43
128	1059	18	83.14
102	2489	42	192.9
3662	14	9	11.08
601	103	41	74.01
253	487	3	9.68
446	116	38	111.99
115	8463	3	12.41
250	8108	3	28.02
101	5561	11	24.45
132	6110	4	22.88
448	3392	4	37.2
1289	127	6	16.66
11715	105	3	10.22
12	16881	6	24.09
1638	101	22	23.32
3690	104	4	5.02
112	11236	5	28.55
360	1369	10	87.03
13115	121	3	18.24
104	19065	3	14.4
149	961	3	7.76
184	550	22	137.3
10180	104	6	26.83
150	847	16	90.1
2150	12	43	123.01
1131	105	14	19.59
548	113	11	11.05
3783	7528	3	45.56
103	1266	42	144.53
12	741	37	21.35
10160	14	6	16.4
130	1428	8	29.15
105	3774	7	16.88
130	8030	3	16.63
414	1012	3	17.96
104	7340	7	26.59
544	108	12	6.06
2583	112	3	4.18
414	309	3	10.38
103	7641	12	61.19
1943	45	3	5.74
3640	14	7	5.94
5459	107	3	5.67
128	1397	3	5.38
101	2819	32	94.8
519	798	10	83.54
573	20186	3	41.84
106	12724	5	25.45
103	16988	4	20.39
124	190	26	30.84
7463	101	11	33.77
3920	167	3	18.2
186	8938	4	36.38
373	1825	4	30.05
12974	101	3	5.31
3633	109	3	4.9
5452	12	6	6.06
138	478	14	46.09
3190	12	18	34.64
499	4383	3	28.36
320	1087	4	24.42
107	2547	14	45.33
291	1005	3	15.68
6498	101	6	8.57
101	8373	11	37.5
6846	119	5	25.9
101	13376	4	9.38
1761	125	3	6.16
18012	104	4	20.81
237	1846	5	34.18
4968	4629	4	60.84
3202	102	5	4.56
119	198	35	40.74
6433	106	4	10.74
616	1025	3	20.46
116	3787	6	22.55
5729	161	3	20.42
106	20197	3	15.48
3166	109	4	7.46
265	3197	4	31.76
19522	4167	3	54.81
3467	999	4	44.34
709	8142	4	49.7
2406	436	11	116.17
